kB,kM,kA,q,w,k_total,rule_ensemble,mutation_rate,initial_mode,n_initial_states,source_for_liveness,s1_shared_classes,s2_shared_classes,s1_residual_qcoords,s2_residual_qcoords,s1_edge_density,s2_edge_density,H_source_bits,H_s1_bits,H_s2_bits,transport_mi_bits,transport_mi_over_Hs1,transport_mi_over_Hs2,source_to_s1_mi_bits,source_to_s2_mi_bits,source_to_s1_mi_over_Hs1,source_to_s2_mi_over_Hs2,s1_to_s2_best_accuracy,s2_to_s1_best_accuracy,s1_s2_variation_of_information_norm,transport_selected,live_transport_selected,seed,instance
2,2,2,4,1,14,random,0.1,joint_random,4096,postB,1,1,0.0,0.0,0.6875,0.8125,1.4906766049919415,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3349740,16
2,2,2,4,1,14,random,0.1,joint_random,4096,postB,1,1,0.0,0.0,0.75,0.5,0.9998127027878123,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3349741,17
2,2,2,4,1,14,random,0.1,joint_random,4096,postB,1,1,0.0,0.0,0.8125,0.625,1.488907603974421,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3349742,18
2,2,2,4,1,14,random,0.1,joint_random,4096,postB,1,1,0.0,0.0,0.6875,0.8125,1.4955410702375984,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,False,3349743,19
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.9997918873824039,1.9997918873824039,1.9997918873824039,1.9997918873824039,1.0,1.0,1.9997918873824039,1.9997918873824039,1.0,1.0,1.0,1.0,0.0,True,True,2216770,0
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.9997804017198109,1.9997804017198109,1.9997804017198109,1.9997804017198109,1.0,1.0,1.9997804017198109,1.9997804017198109,1.0,1.0,1.0,1.0,0.0,True,True,2216771,1
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.9993194468711368,1.9993194468711368,1.9993194468711368,1.9993194468711368,1.0,1.0,1.9993194468711368,1.9993194468711368,1.0,1.0,1.0,1.0,0.0,True,True,2216772,2
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.9993265827445996,1.9993265827445996,1.9993265827445996,1.9993265827445996,1.0,1.0,1.9993265827445996,1.9993265827445996,1.0,1.0,1.0,1.0,0.0,True,True,2216773,3
2,2,2,4,1,14,copy,0.0,joint_random,4096,postB,4,4,1.0,1.0,0.25,0.25,1.9991015700957782,1.9991015700957782,1.9991015700957782,1.9991015700957782,1.0,1.0,1.9991015700957782,1.9991015700957782,1.0,1.0,1.0,1.0,0.0,True,True,2216774,4
2,2,2,4,1,14,copy,0.0,joint_random,4095,postB,4,4,1.0,1.0,0.25,0.25,1.9987432766576625,1.9987432766576625,1.9987432766576625,1.9987432766576625,1.0,1.0,1.9987432766576625,1.9987432766576625,1.0,1.0,1.0,1.0,0.0,True,True,2216775,5
