Lx,Ly,mode,p,n_lattices,loop_w,loop_h,area,perimeter,n_loops,mean_W,abs_mean_W,frac_negative,seed
10,10,empirical_plaquette,0.8476690741956664,500,3,4,12,14,28000,0.018357142857142857,0.018357142857142857,0.4908214285714286,2720318
10,10,empirical_plaquette,0.8476690741956664,500,3,5,15,16,24000,-0.012,0.012,0.506,2720318
10,10,empirical_plaquette,0.8476690741956664,500,4,1,4,10,35000,0.2365142857142857,0.2365142857142857,0.38174285714285716,2720318
10,10,empirical_plaquette,0.8476690741956664,500,4,2,8,12,31500,0.05206349206349206,0.05206349206349206,0.473968253968254,2720318
10,10,empirical_plaquette,0.8476690741956664,500,4,3,12,14,28000,0.009928571428571429,0.009928571428571429,0.4950357142857143,2720318
10,10,empirical_plaquette,0.8476690741956664,500,4,4,16,16,24500,0.002285714285714286,0.002285714285714286,0.49885714285714283,2720318
10,10,empirical_plaquette,0.8476690741956664,500,4,5,20,18,21000,0.006952380952380952,0.006952380952380952,0.49652380952380953,2720318
10,10,empirical_plaquette,0.8476690741956664,500,5,1,5,12,30000,-0.17153333333333334,0.17153333333333334,0.5857666666666667,2720318
10,10,empirical_plaquette,0.8476690741956664,500,5,2,10,14,27000,0.027037037037037037,0.027037037037037037,0.48648148148148146,2720318
10,10,empirical_plaquette,0.8476690741956664,500,5,3,15,16,24000,-0.012333333333333333,0.012333333333333333,0.5061666666666667,2720318
10,10,empirical_plaquette,0.8476690741956664,500,5,4,20,18,21000,0.006190476190476191,0.006190476190476191,0.4969047619047619,2720318
10,10,empirical_plaquette,0.8476690741956664,500,5,5,25,20,18000,-0.011444444444444445,0.011444444444444445,0.5057222222222222,2720318
12,12,empirical_plaquette,0.8476690741956664,500,1,1,1,4,72000,-0.6926388888888889,0.6926388888888889,0.8463194444444444,2738670
12,12,empirical_plaquette,0.8476690741956664,500,1,2,2,6,66000,0.4791818181818182,0.4791818181818182,0.2604090909090909,2738670
12,12,empirical_plaquette,0.8476690741956664,500,1,3,3,8,60000,-0.3323,0.3323,0.66615,2738670
12,12,empirical_plaquette,0.8476690741956664,500,1,4,4,10,54000,0.22977777777777778,0.22977777777777778,0.3851111111111111,2738670
12,12,empirical_plaquette,0.8476690741956664,500,1,5,5,12,48000,-0.15433333333333332,0.15433333333333332,0.5771666666666667,2738670
