graph_id,source_observer,target_observer,n_edges,source_boundary_nodes,target_boundary_nodes,edge_mi_bits,edge_mi_norm,edge_h_input_bits,live_edge,edges
78,3,0,1,1,1,0.13323788284120042,0.06661894142060021,2.0,1,7->9
78,3,2,1,1,1,0.22721700146248258,0.11360850073124129,2.0,1,6->16
78,4,0,1,1,1,0.06003301624604207,0.030016508123021035,2.0,1,1->11
78,4,1,1,1,1,0.6084585933443498,0.3042292966721749,2.0,1,3->13
78,4,3,1,1,1,0.30452494468523295,0.15226247234261647,2.0,1,2->7
79,2,1,2,2,2,0.5870614218721855,0.14676535546804637,4.0,1,6->12 7->13
80,4,1,2,2,2,0.9647894429830588,0.2411973607457647,4.0,1,16->4 15->5
80,4,3,1,1,1,0.6084585933443498,0.3042292966721749,2.0,1,17->12
81,1,0,1,1,1,0.47097540958061535,0.23548770479030767,2.0,1,7->10
81,3,1,1,1,1,0.09536194631325978,0.04768097315662989,2.0,1,3->7
81,3,2,2,2,2,0.1065645264642523,0.026641131616063074,4.0,1,3->13 1->14
81,4,2,1,1,1,0.01654928570186076,0.00827464285093038,2.0,0,16->13
82,2,0,2,1,2,0.5339773316785372,0.2669886658392686,2.0,1,0->5 0->6
82,2,1,1,1,1,0.9237949406953989,0.46189747034769946,2.0,1,0->15
82,4,3,1,1,1,0.9056390622295662,0.4528195311147831,2.0,1,13->11
83,1,0,1,1,1,0.6022170014624821,0.30110850073124107,2.0,1,14->16
83,4,0,1,1,1,0.6084585933443498,0.3042292966721749,2.0,1,2->17
83,4,1,2,2,1,0.7269774272428196,0.1817443568107049,4.0,1,2->14 3->14
83,4,2,1,1,1,0.14578163667727795,0.07289081833863897,2.0,1,2->7
83,4,3,2,2,2,0.49874555091093775,0.12468638772773444,4.0,1,0->8 2->10
84,2,0,1,1,1,0.8050365325772662,0.4025182662886331,2.0,1,2->11
84,2,1,1,1,1,0.43003653257726615,0.21501826628863308,2.0,1,1->6
84,4,1,1,1,1,0.4772170014624826,0.2386085007312413,2.0,1,16->5
85,3,2,1,1,1,0.11331518514183969,0.056657592570919846,2.0,1,15->11
85,4,3,1,1,1,0.7411431593702318,0.3705715796851159,2.0,1,14->17
86,3,0,2,1,2,1.0157231490673286,0.5078615745336643,2.0,1,12->1 12->2
86,3,2,1,1,1,0.5996017527145812,0.2998008763572906,2.0,1,12->15
86,4,3,1,1,1,0.5471804688852169,0.27359023444260844,2.0,1,8->13
87,2,1,1,1,1,0.13423046439620556,0.06711523219810278,2.0,1,5->8
87,3,0,2,1,2,0.6905453479761974,0.3452726739880987,2.0,1,14->1 14->2
87,4,1,1,1,1,0.4211796919474975,0.21058984597374875,2.0,1,17->10
88,1,0,1,1,1,0.31127812445913294,0.15563906222956647,2.0,1,5->15
88,2,0,2,2,2,0.3888221703703998,0.09720554259259995,4.0,1,3->16 0->17
88,2,1,2,2,1,0.5223324644583878,0.13058311611459694,4.0,1,1->5 2->5
88,3,0,1,1,1,0.029635940492431345,0.014817970246215673,2.0,0,10->16
88,3,1,1,1,1,0.43627812445913294,0.21813906222956647,2.0,1,9->4
88,4,1,1,1,1,0.3584585933443498,0.1792292966721749,2.0,1,13->6
89,3,1,1,1,1,0.501614471810182,0.250807235905091,2.0,1,17->7
89,3,2,1,1,1,0.4528195311147831,0.22640976555739156,2.0,1,15->14
89,4,0,2,2,2,0.5376021411834415,0.13440053529586038,4.0,1,9->0 11->1
89,4,3,2,2,2,0.744608006220079,0.18615200155501976,4.0,1,10->16 8->17
90,2,0,1,1,1,0.43627812445913294,0.21813906222956647,2.0,1,10->2
90,3,1,2,1,2,0.4367074088401326,0.2183537044200663,2.0,1,16->6 16->7
90,4,3,1,1,1,0.5612781244591329,0.28063906222956647,2.0,1,12->15
91,1,0,1,1,1,0.29473671780348276,0.14736835890174138,2.0,1,16->5
91,2,0,2,2,2,0.8869142865839654,0.22172857164599136,4.0,1,1->4 3->7
91,2,1,1,1,1,0.8522170014624826,0.4261085007312413,2.0,1,2->17
91,4,3,1,1,1,0.11818430406524083,0.059092152032620415,2.0,1,13->9
92,1,0,1,1,1,0.5612781244591329,0.28063906222956647,2.0,1,7->1
92,3,0,1,1,1,0.09151356873615368,0.04575678436807684,2.0,1,14->0
93,1,0,1,1,1,0.39678222159979804,0.19839111079989902,2.0,1,2->17
94,2,1,1,1,1,0.7183601608327144,0.3591800804163572,2.0,1,15->10
94,3,0,1,1,1,0.47721700146248214,0.23860850073124107,2.0,1,1->5
94,3,2,1,1,1,0.47721700146248214,0.23860850073124107,2.0,1,1->15
95,3,1,1,1,1,0.05393598108277331,0.026967990541386655,2.0,1,13->5
95,4,0,1,1,1,0.022064803151813805,0.011032401575906903,2.0,0,15->0
96,1,0,1,1,1,0.6862781244591329,0.34313906222956647,2.0,1,0->14
97,1,0,1,1,1,0.3879253809700298,0.1939626904850149,2.0,1,2->13
97,3,2,1,1,1,0.09183143785561576,0.04591571892780788,2.0,1,5->16
97,4,1,1,1,1,0.1471830970075243,0.07359154850376215,2.0,1,8->1
97,4,2,2,2,2,0.2985887403183387,0.07464718507958468,4.0,1,10->16 11->17
97,4,3,1,1,1,0.1734720216401584,0.0867360108200792,2.0,1,9->6
98,2,0,2,1,2,1.0284908359320148,0.5142454179660074,2.0,1,4->2 4->3
98,2,1,1,1,1,0.18426865475749254,0.09213432737874627,2.0,1,6->15
98,3,1,1,1,1,0.19515718619530542,0.09757859309765271,2.0,1,9->15
99,1,0,1,1,1,0.5471804688852169,0.27359023444260844,2.0,1,1->14
99,3,0,2,2,1,0.1446235682564323,0.036155892064108075,4.0,1,8->12 11->12
99,3,2,2,2,2,0.9475203234363425,0.23688008085908563,4.0,1,8->4 11->5
99,4,3,1,1,1,0.06723556855471013,0.03361778427735507,2.0,1,16->10
