q,rows,cols,n_links,n_plaquettes,rule_ensemble,mutation_rate,closed_scc,n_scc,link_schedule_consistency,flux_schedule_consistency,quotient_determinism_accuracy,quotient_determinism_exact,link_bit_entropy_bits,link_bit_entropy_norm,quotient_transition_mi_bits,quotient_transition_mi_norm,plaquette_flux_entropy_bits,initial_flux_entropy_bits,recurrent_flux_entropy_bits,recurrent_flux_fixed_fraction,mean_nontrivial_flux_fraction,partition_index,partition,quotient_score,closed_c2_quotient,recurrent_flux_nontrivial,closed_medium_candidate,search_mode,run,generation,candidate,seed,blind_fitness
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.113525390625,False,7.956578456006369,0.9945723070007961,4.028821153017457,0.5063509616971258,2.9985878026572985,2.998948671710104,2.980255731203362,0.109375,0.5032958984375,4,0101,0.23864834811890923,False,True,False,null,-1,0,30,4978.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.115966796875,False,7.962752587012598,0.9953440733765747,4.048484235097858,0.5084277315988711,2.998175647759112,2.9983787788214524,2.993233991687826,0.146484375,0.49755859375,5,0011,0.23965719358156495,False,True,False,null,-1,0,31,4979.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.1181640625,False,7.953066001655531,0.9941332502069413,4.059616467051411,0.5104467215796211,2.9990926822869772,2.9991392826203462,2.9867492655929224,0.08203125,0.5013427734375,2,0110,0.24018407191638827,False,True,False,null,-1,0,32,4980.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.118408203125,False,7.956562889538647,0.9945703611923309,4.063512575269144,0.5107120538960211,2.9993220334923323,2.9989606427774556,2.982895632489938,0.138671875,0.5030517578125,4,0101,0.2403569433322162,False,True,False,null,-1,0,33,4981.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.11279296875,False,7.95314611863299,0.9941432648291237,4.039045844212723,0.5078551033722194,2.999530545845689,2.9991518340014753,2.986554644455474,0.12109375,0.497314453125,4,0101,0.23830619202832476,False,True,False,null,-1,0,34,4982.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.11962890625,False,7.958501666365704,0.994812708295713,4.056429714924473,0.5096976648340472,2.997673122455195,2.9990053827050835,2.997862488606856,0.10546875,0.500732421875,5,0011,0.24083265884664262,False,True,False,null,-1,0,35,4983.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.114990234375,False,7.958486950002406,0.9948108687503008,4.061103677894689,0.5102859002480944,2.9997219399673316,2.9985698453229204,2.9865016224377445,0.13671875,0.49609375,4,0101,0.23920875578131018,False,True,False,null,-1,0,36,4984.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.11669921875,False,7.953161112424589,0.9941451390530737,4.037424213566162,0.5076502483092937,2.9982627232712216,2.9986783821471237,2.9957729004583697,0.12109375,0.495361328125,4,0101,0.23967375437311472,False,True,False,null,-1,0,37,4985.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.116943359375,False,7.947810185299425,0.9934762731624281,4.040238919219519,0.5083461764968292,2.9983104062885415,2.9979643964151537,2.986167992743368,0.15625,0.5001220703125,4,0101,0.23962543041373563,False,True,False,null,-1,0,38,4986.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.116943359375,False,7.954387942316411,0.9942984927895514,4.040170562370674,0.507917213954004,2.998992447944316,2.998433326440833,2.9839807806230034,0.09765625,0.497314453125,5,0011,0.2397898743391603,False,True,False,null,-1,0,39,4987.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.11572265625,False,7.960113354842628,0.9950141693553285,4.050672448007745,0.5088712016322571,2.998650798968364,2.998404943839653,2.9744952605834305,0.107421875,0.5050048828125,2,0110,0.2395057635585657,False,True,False,null,-1,0,40,4988.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.119140625,False,7.958510726333342,0.9948138407916678,4.063942571845857,0.5106410874586084,2.9980869591009967,2.9996667256520952,2.9911855144613746,0.09375,0.4990234375,2,0110,0.24066198690833357,False,True,False,null,-1,0,41,4989.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.113525390625,False,7.959715863966794,0.9949644829958493,4.0450023019199435,0.5081842582134686,2.999593728067483,2.9997180495851024,2.995339082146747,0.111328125,0.499755859375,5,0011,0.23872678331791986,False,True,False,null,-1,0,42,4990.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.119140625,False,7.9520745970424995,0.9940093246303124,4.058252742921244,0.5103388673479713,2.999043970148863,2.99919157691157,2.976400148397336,0.15234375,0.504638671875,2,0110,0.2405010836760625,False,True,False,null,-1,0,43,4991.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.114990234375,False,7.9527461161587105,0.9940932645198388,4.049435824445785,0.5091871116340528,2.9981815678860135,2.999374411355209,2.9796954736840315,0.109375,0.4970703125,4,0101,0.23906523493521778,False,True,False,null,-1,0,44,4992.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.1142578125,False,7.9581579646126706,0.9947697455765838,4.056707787007113,0.5097546197305919,2.9988624728769273,2.997264236053745,2.993993317802912,0.126953125,0.49462890625,4,0101,0.23894418349031676,False,True,False,null,-1,0,45,4993.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.114013671875,False,7.959215139347976,0.994901892418497,4.041577210795673,0.5077858984883227,2.999219104171984,2.9994858147202033,2.9829330992316025,0.08984375,0.49755859375,4,0101,0.23888516363994944,False,True,False,null,-1,0,46,4994.0,
