graph_id,source_observer,target_observer,source_nodes,target_nodes,n_micro_edges,shared_classes,residual_bits,residual_qcoords,label_entropy_bits,transport_mi_norm,deterministic_accuracy,live_quotient
75,12,0,8,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,11,10,7,12,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
75,2,0,2,13,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,9,6,3,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,7,6,9,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,8,6,10,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,3,1,5,15,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
75,9,2,3,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,11,2,7,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,5,2,1,17,1,1,0.0,0.0,-0.0,0.0,1.0,0
75,3,2,5,17,1,1,0.0,0.0,-0.0,0.0,1.0,0
76,1,0,8 16,11,2,4,2.0,1.0,1.9237949406953985,1.0,1.0,1
77,4,0,0 8 14,1,3,4,2.0,1.0,1.951250690823172,1.0,1.0,1
77,4,1,0 4 12 16,2,4,4,2.0,1.0,1.9981630529894552,1.0,1.0,1
77,4,2,0 7 14,9,3,4,2.0,1.0,1.9375128802304333,1.0,1.0,1
77,4,3,0 3 12,15,3,4,2.0,1.0,1.9870878855955432,1.0,1.0,1
78,4,1,12,5 16,2,1,0.0,0.0,-0.0,0.0,1.0,0
78,1,0,0 5 6,10,3,1,0.0,0.0,-0.0,0.0,1.0,0
78,3,0,13,10,1,1,0.0,0.0,-0.0,0.0,1.0,0
78,3,1,13,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
78,4,3,12,13,1,2,1.0,0.5,0.8112781244591328,1.0,1.0,1
78,2,1,2,14 17,2,1,0.0,0.0,-0.0,0.0,1.0,0
79,2,0,12 15,8,2,1,0.0,0.0,-0.0,0.0,1.0,0
79,1,0,14,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
79,2,1,2 16,14,2,4,2.0,1.0,1.771782221599798,1.0,1.0,1
80,1,0,15,8 13 17,3,1,0.0,0.0,-0.0,0.0,1.0,0
82,3,2,10,6 8 17,3,1,0.0,0.0,-0.0,0.0,1.0,0
82,2,0,4 6 8 11,12,4,4,2.0,1.0,1.9819075802294341,1.0,1.0,1
82,2,1,5 11,14,2,4,2.0,1.0,1.9772170014624826,1.0,1.0,1
83,2,0,1 7 9 11,4,4,4,2.0,1.0,1.9947466587145695,1.0,1.0,1
83,3,2,3,14 15,2,1,0.0,0.0,-0.0,0.0,1.0,0
83,2,1,5 6,16,2,3,1.584962500721156,0.792481250360578,1.4772170014624826,1.0,1.0,1
84,6,4,15,2,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
84,3,0,4 13 14,3,3,4,2.0,1.0,1.9715153033374997,1.0,1.0,1
84,6,3,15,5 14,2,1,0.0,0.0,-0.0,0.0,1.0,0
84,3,1,4,7,1,2,1.0,0.5,0.8112781244591328,1.0,1.0,1
84,4,3,2,8 13,2,1,0.0,0.0,-0.0,0.0,1.0,0
84,3,2,1,17,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
85,4,3,8,2 5 11 15 17,5,1,0.0,0.0,-0.0,0.0,1.0,0
85,3,1,10 15,4,2,1,0.0,0.0,-0.0,0.0,1.0,0
85,5,1,16,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
85,5,3,16,6 7 17,3,1,0.0,0.0,-0.0,0.0,1.0,0
85,3,2,2 9 10,13,3,4,2.0,1.0,1.9815944058432748,1.0,1.0,1
85,3,0,0 6,14,2,1,0.0,0.0,-0.0,0.0,1.0,0
85,4,0,8,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
86,3,0,10,0 15,2,1,0.0,0.0,-0.0,0.0,1.0,0
86,5,0,9,1 3 16,3,1,0.0,0.0,-0.0,0.0,1.0,0
86,4,2,7,2,1,3,1.584962500721156,0.792481250360578,1.5,1.0,1.0,1
86,1,0,14,3,1,1,0.0,0.0,-0.0,0.0,1.0,0
