k,q,w,ratio,n_rec,n_img,qk,one_over_e_ref,part_surv_full_count,part_surv_image_count,orbit_dim_image,orbit_dim_recurrent,R_active,R_passive_h1,R_passive_h2,ensemble,density,instance,seed,R_active_classes
2,8,1,0.5,1,11,64,0.34360891580581665,0.375,0.16666666666666666,0.5765719364395496,0.0,,,,cycle,0,10,30031,
2,8,1,0.5,4,10,64,0.34360891580581665,0.5,0.2,0.5536546824812272,0.33333333333333337,1.0,1.0,1.0,cycle,0,11,30032,4.0
2,8,1,0.5,10,12,64,0.34360891580581665,0.375,0.16666666666666666,0.5974937501201928,0.5536546824812272,1.0,1.0,1.0,cycle,0,12,30033,10.0
2,8,1,0.5,7,10,64,0.34360891580581665,0.4375,0.18333333333333335,0.5536546824812272,0.46789248700960073,1.0,1.0,1.0,cycle,0,13,30034,7.0
2,8,1,0.5,4,11,64,0.34360891580581665,0.4375,0.18333333333333335,0.5765719364395496,0.33333333333333337,1.0,1.0,1.0,cycle,0,14,30035,4.0
2,8,1,0.5,4,12,64,0.34360891580581665,0.375,0.17142857142857143,0.5974937501201928,0.33333333333333337,1.0,1.0,1.0,cycle,0,15,30036,4.0
2,8,1,0.5,2,9,64,0.34360891580581665,0.4375,0.18333333333333335,0.5283208335737188,0.16666666666666669,1.0,1.0,1.0,cycle,0,16,30037,2.0
2,8,1,0.5,1,9,64,0.34360891580581665,0.5,0.20833333333333331,0.5283208335737188,0.0,,,,cycle,0,17,30038,
2,8,1,0.5,1,8,64,0.34360891580581665,0.5625,0.225,0.5,0.0,,,,cycle,0,18,30039,
2,8,1,0.5,2,9,64,0.34360891580581665,0.4375,0.18333333333333335,0.5283208335737188,0.16666666666666669,1.0,1.0,1.0,cycle,0,19,30040,2.0
2,8,1,0.5,4,9,64,0.34360891580581665,0.5625,0.225,0.5283208335737188,0.33333333333333337,1.0,1.0,1.0,cycle,0,20,30041,4.0
2,8,1,0.5,7,11,64,0.34360891580581665,0.375,0.16666666666666666,0.5765719364395496,0.46789248700960073,1.0,1.0,1.0,cycle,0,21,30042,7.0
2,8,1,0.5,2,8,64,0.34360891580581665,0.5,0.20833333333333331,0.5,0.16666666666666669,1.0,1.0,1.0,cycle,0,22,30043,2.0
