graph_id,cycle_id,length,observers,min_edge_mi_bits,mean_edge_mi_bits,product_edge_score,live_cycle,edge_pairs
17,33,5,0 4 3 5 7,0.037300822226523866,0.21755561384172878,3.308444134036056e-05,0,0-4 3-4 3-5 5-7 0-7
17,34,5,0 4 5 6 7,0.037300822226523866,0.4050121192432313,0.000659209186944852,0,0-4 4-5 5-6 6-7 0-7
17,35,5,0 4 7 6 5,0.08230995537084018,0.3028037282120457,0.00022533089560183004,1,0-4 4-7 6-7 5-6 0-5
17,36,5,0 5 2 4 7,0.02142741025898376,0.05539642134633151,2.281173944440393e-07,0,0-5 2-5 2-4 4-7 0-7
17,37,5,0 5 3 4 7,0.037300822226523866,0.18183233206799673,8.433177356269223e-06,0,0-5 3-5 3-4 4-7 0-7
17,38,5,1 2 3 4 5,0.01539851335079545,0.2795806683972907,9.225781625736554e-06,0,1-2 2-3 3-4 4-5 1-5
17,39,5,1 2 4 3 5,0.02142741025898376,0.27837250985468537,1.2602407347734812e-05,0,1-2 2-4 3-4 3-5 1-5
17,40,5,1 2 4 7 5,0.02142741025898376,0.1971882449598211,8.568948744825327e-06,0,1-2 2-4 4-7 5-7 1-5
17,41,5,2 3 4 5 8,0.01539851335079545,0.1542994828041487,3.304874508490972e-07,0,2-3 3-4 4-5 5-8 2-8
17,42,5,2 3 4 7 5,0.01539851335079545,0.0745698675062508,4.0052202165834944e-07,0,2-3 3-4 4-7 5-7 2-5
17,43,5,2 3 5 7 4,0.01539851335079545,0.19288737611142145,3.905160558463913e-06,0,2-3 3-5 5-7 4-7 2-4
17,44,5,2 4 3 5 8,0.02142741025898376,0.15309132426154343,4.51445486992252e-07,0,2-4 3-4 3-5 5-8 2-8
17,45,5,2 4 7 5 8,0.02142741025898376,0.07190705936667915,3.069582764926762e-07,0,2-4 4-7 5-7 5-8 2-8
17,46,5,2 4 7 6 5,0.02142741025898376,0.2608182143651481,1.0901247195946587e-05,0,2-4 4-7 6-7 5-6 2-5
17,47,5,3 4 7 6 5,0.04172341555022019,0.38725412508681334,0.000403003686904299,0,3-4 4-7 6-7 5-6 3-5
17,48,6,0 4 2 1 5 7,0.02142741025898376,0.1840641535850335,5.740914538704526e-07,0,0-4 2-4 1-2 1-5 5-7 0-7
17,49,6,0 4 2 3 5 7,0.01539851335079545,0.18048009621136715,2.6163294581029685e-07,0,0-4 2-4 2-3 3-5 5-7 0-7
17,50,6,0 4 2 5 6 7,0.02142741025898376,0.2370891280894727,7.303477985559759e-07,0,0-4 2-4 2-5 5-6 6-7 0-7
17,51,6,0 4 2 8 5 7,0.02142741025898376,0.07966316559074856,2.0565197491193657e-08,0,0-4 2-4 2-8 5-8 5-7 0-7
17,52,6,0 4 3 2 1 5,0.01539851335079545,0.16755084725693678,2.1127796202984535e-07,0,0-4 3-4 2-3 1-2 1-5 0-5
17,53,6,0 4 3 2 5 7,0.01539851335079545,0.08188217237372493,2.683366146399582e-08,0,0-4 3-4 2-3 2-5 5-7 0-7
17,54,6,0 4 3 2 8 5,0.01539851335079545,0.06314985926265182,7.568433540313866e-09,0,0-4 3-4 2-3 2-8 5-8 0-5
17,55,6,0 4 3 5 6 7,0.037300822226523866,0.3424523870241937,2.6999924893909242e-05,0,0-4 3-4 3-5 5-6 6-7 0-7
17,56,6,0 5 1 2 4 7,0.02142741025898376,0.15429475210692348,1.4633510052055226e-07,0,0-5 1-5 1-2 2-4 4-7 0-7
17,57,6,0 5 2 3 4 7,0.01539851335079545,0.05211277089561491,6.839862396827081e-09,0,0-5 2-5 2-3 3-4 4-7 0-7
17,58,6,0 5 3 2 4 7,0.01539851335079545,0.15071069473325713,6.668986825447065e-08,0,0-5 3-5 2-3 2-4 4-7 0-7
17,59,6,0 5 8 2 4 7,0.02142741025898376,0.04989376411263854,5.242039786186968e-09,0,0-5 5-8 2-8 2-4 4-7 0-7
17,60,6,1 2 3 4 7 5,0.01539851335079545,0.17027262390685624,2.569310001234799e-07,0,1-2 2-3 3-4 4-7 5-7 1-5
17,61,6,1 2 4 7 6 5,0.02142741025898376,0.325479579622604,6.9930445598245164e-06,0,1-2 2-4 4-7 6-7 5-6 1-5
17,62,6,2 3 4 7 5 8,0.01539851335079545,0.06587163591257128,9.203824100718277e-09,0,2-3 3-4 4-7 5-7 5-8 2-8
17,63,6,2 3 4 7 6 5,0.01539851335079545,0.2232975984112954,3.268625391579386e-07,0,2-3 3-4 4-7 6-7 5-6 2-5
17,64,6,2 3 5 6 7 4,0.01539851335079545,0.32189552224893764,3.1869675746513066e-06,0,2-3 3-5 5-6 6-7 4-7 2-4
17,65,6,2 4 7 6 5 8,0.02142741025898376,0.22107859162831903,2.5050598030668645e-07,0,2-4 4-7 6-7 5-6 5-8 2-8
