usable_diamond,valid_transport_cycle,valid_holonomy,nontrivial_holonomy,min_edge_classes,min_edge_residual_bits,min_edge_transport,local_map_accuracy,holonomy_type,generated_group,group_order,source_observer,sink_observer,path1,path2,graph_id,cycle_id,length,observers,min_observer_edge_mi_bits,mean_observer_edge_mi_bits
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,2.0,4 3 2,4 2,69,1,3,2 3 4,0.521782221599798,0.8064334061496812
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,4.0,1.0,4 3 2 1,4 1,69,2,4,1 2 3 4,0.6022170014624821,0.7872831171648567
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,2.0,0.0,2 1 0,2 0,71,0,3,0 1 2,0.42742128382936473,0.5240638780351262
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,1.0,3 2 1,3 1,71,1,3,1 2 3,0.1402385218410851,0.31596687353819924
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 1 0,3 2 0,71,2,4,0 1 3 2,0.1402385218410851,0.4163124217653117
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,3.0,8 5 3,8 3,74,5,3,3 5 8,0.4439626904850149,0.5226539711824318
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,7.0,5.0,7 6 5,7 5,74,6,3,5 6 7,0.19817584926215126,0.31075656695563564
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,5.0,8 6 5,8 5,74,7,3,5 6 8,0.19817584926215126,0.4360829714722276
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,5.0,8 7 5,8 5,74,8,3,5 7 8,0.42905731902749,0.6141841483163684
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,6.0,8 7 6,8 6,74,10,3,6 7 8,0.3050365325772657,0.6042975320897715
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,3.0,8 6 5 3,8 3,74,18,4,3 5 6 8,0.19817584926215126,0.46512467514497013
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,3.0,8 7 5 3,8 3,74,19,4,3 5 7 8,0.42905731902749,0.5987005577780757
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,5.0,8 7 6 5,8 5,74,20,4,5 6 7 8,0.19817584926215126,0.479176876940258
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,5.0,8 6 5,8 7 5,74,22,4,5 6 8 7,0.19817584926215126,0.5337723079954225
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,74,23,4,5 7 6 8,0.3050365325772657,0.4610417291898218
