q,w,nx,ny,ensemble,p_flip,mutation_rate,instances,loop_a,loop_b,area,perimeter,n_loop_samples,mean_W,abs_mean_W,valid_plaquette_fraction,z2_plaquette_fraction,nontrivial_plaquette_fraction,delta_type_counts,group_name_counts
4,1,6,6,c2link,0.1,0.0,100,4,4,16,16,900,0.024444444444444446,0.024444444444444446,1.0,1.0,0.4441666666666666,"{""identity"": 2001, ""cycle_2"": 1599}","{""trivial"": 1605, ""C2"": 1995}"
4,1,6,6,c2link,0.3,0.0,100,1,1,1,4,3600,0.015,0.015,1.0,1.0,0.4925,"{""identity"": 1827, ""cycle_2"": 1773}","{""trivial"": 775, ""C2"": 2825}"
4,1,6,6,c2link,0.3,0.0,100,1,2,2,6,3000,-0.024666666666666667,0.024666666666666667,1.0,1.0,0.4925,"{""identity"": 1827, ""cycle_2"": 1773}","{""trivial"": 775, ""C2"": 2825}"
4,1,6,6,c2link,0.3,0.0,100,1,3,3,8,2400,-0.014166666666666666,0.014166666666666666,1.0,1.0,0.4925,"{""identity"": 1827, ""cycle_2"": 1773}","{""trivial"": 775, ""C2"": 2825}"
4,1,6,6,c2link,0.3,0.0,100,1,4,4,10,1800,-0.01888888888888889,0.01888888888888889,1.0,1.0,0.4925,"{""identity"": 1827, ""cycle_2"": 1773}","{""trivial"": 775, ""C2"": 2825}"
4,1,6,6,c2link,0.3,0.0,100,2,1,2,6,3000,0.006,0.006,1.0,1.0,0.4925,"{""identity"": 1827, ""cycle_2"": 1773}","{""trivial"": 775, ""C2"": 2825}"
4,1,6,6,c2link,0.3,0.0,100,2,2,4,8,2500,-0.0016,0.0016,1.0,1.0,0.4925,"{""identity"": 1827, ""cycle_2"": 1773}","{""trivial"": 775, ""C2"": 2825}"
4,1,6,6,c2link,0.3,0.0,100,2,3,6,10,2000,-0.008,0.008,1.0,1.0,0.4925,"{""identity"": 1827, ""cycle_2"": 1773}","{""trivial"": 775, ""C2"": 2825}"
4,1,6,6,c2link,0.3,0.0,100,2,4,8,12,1500,-0.037333333333333336,0.037333333333333336,1.0,1.0,0.4925,"{""identity"": 1827, ""cycle_2"": 1773}","{""trivial"": 775, ""C2"": 2825}"
4,1,6,6,c2link,0.3,0.0,100,3,1,3,8,2400,0.014166666666666666,0.014166666666666666,1.0,1.0,0.4925,"{""identity"": 1827, ""cycle_2"": 1773}","{""trivial"": 775, ""C2"": 2825}"
4,1,6,6,c2link,0.3,0.0,100,3,2,6,10,2000,-0.036,0.036,1.0,1.0,0.4925,"{""identity"": 1827, ""cycle_2"": 1773}","{""trivial"": 775, ""C2"": 2825}"
4,1,6,6,c2link,0.3,0.0,100,3,3,9,12,1600,-0.03625,0.03625,1.0,1.0,0.4925,"{""identity"": 1827, ""cycle_2"": 1773}","{""trivial"": 775, ""C2"": 2825}"
