q,w,nx,ny,valid_plaquette_fraction,z2_plaquette_fraction,nontrivial_plaquette_fraction,delta_type_counts,group_name_counts,mean_residual_qcoords,min_residual_qcoords,mean_residual_norm,min_residual_norm,mean_edge_transport,min_edge_transport,mean_edge_accuracy,min_edge_accuracy,blind_fitness,blind_fitness_stage,selected_lattice,full_valid_lattice,nontrivial_flux,search_mode,run,generation,candidate,seed,proposal_mode,wilson_area_1_mean,wilson_area_1_abs,wilson_area_1_n,target_mode,wilson_area_2_mean,wilson_area_2_abs,wilson_area_2_n,wilson_area_4_mean,wilson_area_4_abs,wilson_area_4_n,wilson_area_3_mean,wilson_area_3_abs,wilson_area_3_n,wilson_area_6_mean,wilson_area_6_abs,wilson_area_6_n,wilson_area_9_mean,wilson_area_9_abs,wilson_area_9_n
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.75,0.09722222222222222,transport,False,False,False,null,-1,0,91,45897,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.9722222222222222,0.75,0.1111111111111111,transport,False,False,False,null,-1,0,92,45898,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.8888888888888888,0.5,0.11666666666666667,transport,False,False,False,null,-1,0,93,45899,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.8888888888888888,0.5,0.11666666666666667,transport,False,False,False,null,-1,0,94,45900,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.8611111111111112,0.5,0.14166666666666666,transport,False,False,False,null,-1,0,95,45901,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.9166666666666666,0.75,0.11944444444444445,transport,False,False,False,null,-1,0,96,45902,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.8611111111111112,0.75,0.08611111111111112,transport,False,False,False,null,-1,0,97,45903,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,1.0,1.0,0.1138888888888889,transport,False,False,False,null,-1,0,98,45904,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.9444444444444444,0.75,0.10833333333333334,transport,False,False,False,null,-1,0,99,45905,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.5,0.0975,pretrain,False,False,False,evolve,0,0,0,92176,mixed,,,,interface,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.7777777777777778,0.5,0.085,pretrain,False,False,False,evolve,0,0,1,92176,mixed,,,,interface,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.8611111111111112,0.75,0.10750000000000003,pretrain,False,False,False,evolve,0,0,2,92176,mixed,,,,interface,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.5,0.0825,pretrain,False,False,False,evolve,0,0,3,92176,mixed,,,,interface,,,,,,,,,,,,,,,
