q,rows,cols,n_links,n_plaquettes,rule_ensemble,mutation_rate,closed_scc,n_scc,link_schedule_consistency,flux_schedule_consistency,quotient_determinism_accuracy,quotient_determinism_exact,link_bit_entropy_bits,link_bit_entropy_norm,quotient_transition_mi_bits,quotient_transition_mi_norm,plaquette_flux_entropy_bits,initial_flux_entropy_bits,recurrent_flux_entropy_bits,recurrent_flux_fixed_fraction,mean_nontrivial_flux_fraction,partition_index,partition,quotient_score,closed_c2_quotient,recurrent_flux_nontrivial,closed_medium_candidate,seed,instance,mode
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.951228418259817,0.9939035522824772,7.951228418259817,1.0,2.9988911543332746,2.9988911543332746,2.992523588966936,1.0,0.4979248046875,4,0101,0.9987807104564955,True,True,True,54996,22,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.953435520423821,0.9941794400529776,7.953435520423821,1.0,2.9991546754722425,2.9991546754722425,2.994687021633806,1.0,0.495361328125,2,0110,0.9988358880105956,True,True,True,54997,23,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.956196960364766,0.9945246200455957,7.956196960364766,1.0,2.9987830437241234,2.9987830437241234,2.992556721337558,1.0,0.5029296875,4,0101,0.9989049240091192,True,True,True,54998,24,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.963050007988449,0.9953812509985561,7.963050007988449,1.0,2.9988120789384176,2.9988120789384176,2.992596769583586,1.0,0.5001220703125,4,0101,0.9990762501997112,True,True,True,54999,25,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.9606949795193644,0.9950868724399206,7.9606949795193644,1.0,2.99730409958502,2.99730409958502,2.9851305763432383,1.0,0.502197265625,4,0101,0.9990173744879842,True,True,True,55000,26,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.960758725967269,0.9950948407459086,7.960758725967269,1.0,2.999022252908291,2.999022252908291,2.9915921707849,1.0,0.504638671875,4,0101,0.9990189681491818,True,True,True,55001,27,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.953767212216324,0.9942209015270405,7.953767212216324,1.0,2.997087229788619,2.997087229788619,2.9986824225373354,1.0,0.5042724609375,4,0101,0.9988441803054081,True,True,True,55002,28,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.953482072052829,0.9941852590066036,7.953482072052829,1.0,2.998017979109669,2.998017979109669,2.9852840775965506,1.0,0.4949951171875,4,0101,0.9988370518013208,True,True,True,55003,29,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.96132174242868,0.995165217803585,7.96132174242868,1.0,2.9993675676146605,2.9993675676146605,2.990041092702988,1.0,0.497802734375,5,0011,0.9990330435607171,True,True,True,55004,30,sweep
4,2,2,8,4,copy,0.0,True,1,1.0,1.0,1.0,True,7.952077376208901,0.9940096720261127,7.952077376208901,1.0,2.9989281741228244,2.9989281741228244,2.9810902128989873,1.0,0.500244140625,5,0011,0.9988019344052226,True,True,True,55005,31,sweep
